CarID|Car|MPG|Cylinders|Displacement|Horsepower|Weight|Acceleration|Model|Origin
18567|Audi 100 LS|24.0|4|107.0|90|2430|14.5|70|Europe
11097|Saab 99e|25.0|4|104.0|95|2375|17.5|70|Europe
13416|BMW 2002|26.0|4|121.0|113|2234|12.5|70|Europe
18725|AMC Gremlin|21.0|6|199.0|90|2648|15.0|70|US
16808|Ford F250|10.0|8|360.0|215|4615|14.0|70|US
11524|Chevy C20|10.0|8|307.0|200|4376|15.0|70|US
10374|Dodge D200|11.0|8|318.0|210|4382|13.5|70|US
19114|Hi 1200D|9.0|8|304.0|193|4732|18.5|70|US
17175|Chevrolet Vega 2300|28.0|4|140.0|90|2264|15.5|71|US
18286|Toyota Corolla|25.0|4|113.0|95|2228|14.0|71|Japan
16783|Ford Pinto|25.0|4|98.0|0|2046|19.0|71|US
15049|Volkswagen Super Beetle 117|0.0|4|97.0|48|1978|20.0|71|Europe
15980|Plymouth Satellite Custom|16.0|6|225.0|105|3439|15.5|71|US
14851|Ford Torino 500|19.0|6|250.0|88|3302|15.5|71|US
11594|AMC Matador|18.0|6|232.0|100|3288|15.5|71|US
13544|Pontiac Catalina Brougham|14.0|8|400.0|175|4464|11.5|71|US
13368|Dodge Monaco (sw)|12.0|8|383.0|180|4955|11.5|71|US
19541|Ford Country Squire (sw)|13.0|8|400.0|170|4746|12.0|71|US
15775|Pontiac Safari (sw)|13.0|8|400.0|175|5140|12.0|71|US
13747|AMC Hornet Sportabout (sw)|18.0|6|258.0|110|2962|13.5|71|US
17854|Chevrolet Vega (sw)|22.0|4|140.0|72|2408|19.0|71|US
12045|Pontiac Firebird|19.0|6|250.0|100|3282|15.0|71|US
14532|Ford Mustang|18.0|6|250.0|88|3139|14.5|71|US
14951|Mercury Capri 2000|23.0|4|122.0|86|2220|14.0|71|US
12573|Opel 1900|28.0|4|116.0|90|2123|14.0|71|Europe
16086|Peugeot 304|30.0|4|79.0|70|2074|19.5|71|Europe
14461|Fiat 124B|30.0|4|88.0|76|2065|14.5|71|Europe
10536|Toyota Corolla 1200|31.0|4|71.0|65|1773|19.0|71|Japan
19464|Datsun 1200|35.0|4|72.0|69|1613|18.0|71|Japan
14047|Volkswagen Model 111|27.0|4|97.0|60|1834|19.0|71|Europe
17185|Plymouth Cricket|26.0|4|91.0|70|1955|20.5|71|US
16595|Toyota Corolla Hardtop|24.0|4|113.0|95|2278|15.5|72|Japan
15688|Dodge Colt Hardtop|25.0|4|97.5|80|2126|17.0|72|US
14329|Volkswagen Type 3|23.0|4|97.0|54|2254|23.5|72|Europe
18342|Chevrolet Vega|20.0|4|140.0|90|2408|19.5|72|US
19378|Ford Pinto Runabout|21.0|4|122.0|86|2226|16.5|72|US
14266|Plymouth Fury III|15.0|8|318.0|150|4135|13.5|72|US
12636|AMC Ambassador SST|17.0|8|304.0|150|3672|11.5|72|US
13026|Mercury Marquis|11.0|8|429.0|208|4633|11.0|72|US
19389|Buick LeSabre Custom|13.0|8|350.0|155|4502|13.5|72|US
17474|Oldsmobile Delta 88 Royale|12.0|8|350.0|160|4456|13.5|72|US
17330|Chrysler Newport Royal|13.0|8|400.0|190|4422|12.5|72|US
13628|Mazda RX2 Coupe|19.0|3|70.0|97|2330|13.5|72|Japan
14175|AMC Matador (sw)|15.0|8|304.0|150|3892|12.5|72|US
17828|Ford Gran Torino (sw)|13.0|8|302.0|140|4294|16.0|72|US
17803|Plymouth Satellite Custom (sw)|14.0|8|318.0|150|4077|14.0|72|US
16321|Volvo 145e (sw)|18.0|4|121.0|112|2933|14.5|72|Europe
15394|Volkswagen 411 (sw)|22.0|4|121.0|76|2511|18.0|72|Europe
16953|Peugeot 504 (sw)|21.0|4|120.0|87|2979|19.5|72|Europe
10078|Renault 12 (sw)|26.0|4|96.0|69|2189|18.0|72|Europe
14427|Ford Pinto (sw)|22.0|4|122.0|86|2395|16.0|72|US
13292|Datsun 510 (sw)|28.0|4|97.0|92|2288|17.0|72|Japan
17863|Toyota Corolla Mark II (sw)|23.0|4|120.0|97|2506|14.5|72|Japan
15001|Dodge Colt (sw)|28.0|4|98.0|80|2164|15.0|72|US
15884|Toyota Corolla 1600 (sw)|27.0|4|97.0|88|2100|16.5|72|Japan
16266|Buick Century 350|13.0|8|350.0|175|4100|13.0|73|US
18761|Chevrolet Malibu|13.0|8|350.0|145|3988|13.0|73|US
14121|Ford Gran Torino|14.0|8|302.0|137|4042|14.5|73|US
10371|Dodge Coronet Custom|15.0|8|318.0|150|3777|12.5|73|US
10904|Mercury Marquis Brougham|12.0|8|429.0|198|4952|11.5|73|US
18089|Chevrolet Caprice Classic|13.0|8|400.0|150|4464|12.0|73|US
10815|Ford LTD|13.0|8|351.0|158|4363|13.0|73|US
15419|Plymouth Fury Gran Sedan|14.0|8|318.0|150|4237|14.5|73|US
18772|Chrysler New Yorker Brougham|13.0|8|440.0|215|4735|11.0|73|US
10677|Buick Electra 225 Custom|12.0|8|455.0|225|4951|11.0|73|US
13937|AMC Ambassador Brougham|13.0|8|360.0|175|3821|11.0|73|US
18079|Plymouth Valiant|18.0|6|225.0|105|3121|16.5|73|US
18823|Chevrolet Nova Custom|16.0|6|250.0|100|3278|18.0|73|US
12654|Volkswagen Super Beetle|26.0|4|97.0|46|1950|21.0|73|Europe
19414|Ford Country|12.0|8|400.0|167|4906|12.5|73|US
13027|Plymouth Custom Suburb|13.0|8|360.0|170|4654|13.0|73|US
18970|Oldsmobile Vista Cruiser|12.0|8|350.0|180|4499|12.5|73|US
13428|Toyota Camry|20.0|4|97.0|88|2279|19.0|73|Japan
13083|Datsun 610|22.0|4|108.0|94|2379|16.5|73|Japan
15576|Mazda RX3|18.0|3|70.0|90|2124|13.5|73|Japan
17900|Mercury Capri v6|21.0|6|155.0|107|2472|14.0|73|US
16312|Fiat 124 Sport Coupe|26.0|4|98.0|90|2265|15.5|73|Europe
17398|Chevrolet Monte Carlo S|15.0|8|350.0|145|4082|13.0|73|US
18923|Pontiac Grand Prix|16.0|8|400.0|230|4278|9.5|73|US
14092|Fiat 128|29.0|4|68.0|49|1867|19.5|73|Europe
13738|Opel Manta|24.0|4|116.0|75|2158|15.5|73|Europe
16728|Audi 100LS|20.0|4|114.0|91|2582|14.0|73|Europe
15259|Volvo 144ea|19.0|4|121.0|112|2868|15.5|73|Europe
10605|Dodge Dart Custom|15.0|8|318.0|150|3399|11.0|73|US
12767|Saab 99le|24.0|4|121.0|110|2660|14.0|73|Europe
10864|Toyota Mark II|20.0|6|156.0|122|2807|13.5|73|Japan
10003|Oldsmobile Omega|11.0|8|350.0|180|3664|11.0|73|US
11958|Chevrolet Nova|15.0|6|250.0|100|3336|17.0|74|US
16850|Datsun B210|31.0|4|79.0|67|1950|19.0|74|Japan
15023|Chevrolet Chevelle Malibu Classic|16.0|6|250.0|100|3781|17.0|74|US
10234|Plymouth Satellite Sebring|18.0|6|225.0|105|3613|16.5|74|US
14891|Buick Century Luxus (sw)|13.0|8|350.0|150|4699|14.5|74|US
16079|Dodge Coronet Custom (sw)|14.0|8|318.0|150|4457|13.5|74|US
13814|Audi Fox|29.0|4|98.0|83|2219|16.5|74|Europe
17931|Volkswagen Dasher|26.0|4|79.0|67|1963|15.5|74|Europe
18331|Datsun 710|32.0|4|83.0|61|2003|19.0|74|Japan
15247|Dodge Colt|28.0|4|90.0|75|2125|14.5|74|US
16258|Fiat 124 TC|26.0|4|116.0|75|2246|14.0|74|Europe
19783|Honda Civic|24.0|4|120.0|97|2489|15.0|74|Japan
18133|Subaru|26.0|4|108.0|93|2391|15.5|74|Japan
16064|Fiat x1.9|31.0|4|79.0|67|2000|16.0|74|Europe
11474|Plymouth Valiant Custom|19.0|6|225.0|95|3264|16.0|75|US
12192|Mercury Monarch|15.0|6|250.0|72|3432|21.0|75|US
11286|Chevrolet Bel Air|15.0|8|350.0|145|4440|14.0|75|US
16802|Plymouth Grand Fury|16.0|8|318.0|150|4498|14.5|75|US
19569|Buick Century|17.0|6|231.0|110|3907|21.0|75|US
16575|Chevrolete Chevelle Malibu|16.0|6|250.0|105|3897|18.5|75|US
18865|Plymouth Fury|18.0|6|225.0|95|3785|19.0|75|US
17692|Buick Skyhawk|21.0|6|231.0|110|3039|15.0|75|US
15466|Chevrolet Monza 2+2|20.0|8|262.0|110|3221|13.5|75|US
13471|Ford Mustang II|13.0|8|302.0|129|3169|12.0|75|US
11046|Pontiac Astro|23.0|4|140.0|78|2592|18.5|75|US
19159|Volkswagen Rabbit|29.0|4|90.0|70|1937|14.0|75|Europe
14233|AMC Pacer|19.0|6|232.0|90|3211|17.0|75|US
12959|Volvo 244DL|22.0|4|121.0|98|2945|14.5|75|Europe
17641|Saab 99LE|25.0|4|121.0|115|2671|13.5|75|Europe
19636|Honda Civic CVCC|33.0|4|91.0|53|1795|17.5|75|Japan
19986|Fiat 131|28.0|4|107.0|86|2464|15.5|76|Europe
17945|Capri ii|25.0|4|140.0|92|2572|14.9|76|US
10249|Renault 12tl|27.0|4|101.0|83|2202|15.3|76|Europe
19248|Dodge Coronet Brougham|16.0|8|318.0|150|4190|13.0|76|US
13249|Chevrolet Chevette|29.0|4|85.0|52|2035|22.2|76|US
13067|Chevrolet Woody|24.5|4|98.0|60|2164|22.1|76|US
11147|Dodge Aspen SE|20.0|6|225.0|100|3651|17.7|76|US
15589|Ford Grenada ghia|18.0|6|250.0|78|3574|21.0|76|US
13534|Pontiac Ventura SJ|18.5|6|250.0|110|3645|16.2|76|US
16585|AMC Pacer d/l|17.5|6|258.0|95|3193|17.8|76|US
19160|Datsun B-210|32.0|4|85.0|70|1990|17.0|76|Japan
15721|Volvo 245|20.0|4|130.0|102|3150|15.7|76|Europe
11033|Plymouth Volare Premier v8|13.0|8|318.0|150|3940|13.2|76|US
11500|Mercedes-Benz 280s|16.5|6|168.0|120|3820|16.7|76|Europe
10687|Cadillac Seville|16.5|8|350.0|180|4380|12.1|76|US
16543|Chevrolet C10|13.0|8|350.0|145|4055|12.0|76|US
18184|Ford F108|13.0|8|302.0|130|3870|15.0|76|US
16731|Dodge D100|13.0|8|318.0|150|3755|14.0|76|US
14899|Honda Accord CVCC|31.5|4|98.0|68|2045|18.5|77|Japan
10661|Buick Opel Isuzu Deluxe|30.0|4|111.0|80|2155|14.8|77|US
16381|Renault 5 GTL|36.0|4|79.0|58|1825|18.6|77|Europe
11922|Plymouth Arrow GS|25.5|4|122.0|96|2300|15.5|77|US
19937|Datsun F-10 Hatchback|33.5|4|85.0|70|1945|16.8|77|Japan
15292|Oldsmobile Cutlass Supreme|17.0|8|260.0|110|4060|19.0|77|US
15571|Dodge Monaco Brougham|15.5|8|318.0|145|4140|13.7|77|US
17268|Mercury Cougar Brougham|15.0|8|302.0|130|4295|14.9|77|US
19781|Chevrolet Concours|17.5|6|250.0|110|3520|16.4|77|US
16249|Buick Skylark|20.5|6|231.0|105|3425|16.9|77|US
13086|Plymouth Volare Custom|19.0|6|225.0|100|3630|17.7|77|US
11624|Ford Grenada|18.5|6|250.0|98|3525|19.0|77|US
11512|Pontiac Grand Prix LJ|16.0|8|400.0|180|4220|11.1|77|US
17343|Chevrolet Monte Carlo Landau|15.5|8|350.0|170|4165|11.4|77|US
13169|Chrysler Cordoba|15.5|8|400.0|190|4325|12.2|77|US
18178|Ford Thunderbird|16.0|8|351.0|149|4335|14.5|77|US
15746|Volkswagen Rabbit Custom|29.0|4|97.0|78|1940|14.5|77|Europe
14489|Pontiac Sunbird Coupe|24.5|4|151.0|88|2740|16.0|77|US
13669|Toyota Corolla Liftback|26.0|4|97.0|75|2265|18.2|77|Japan
12826|Ford Mustang II 2+2|25.5|4|140.0|89|2755|15.8|77|US
12490|Dodge Colt m/m|33.5|4|98.0|83|2075|15.9|77|US
11696|Subaru DL|30.0|4|97.0|67|1985|16.4|77|Japan
12743|Datsun 810|22.0|6|146.0|97|2815|14.5|77|Japan
14901|BMW 320i|21.5|4|121.0|110|2600|12.8|77|Europe
17537|Mazda RX-4|21.5|3|80.0|110|2720|13.5|77|Japan
11802|Volkswagen Rabbit Custom Diesel|43.1|4|90.0|48|1985|21.5|78|Europe
14356|Ford Fiesta|36.1|4|98.0|66|1800|14.4|78|US
11229|Mazda GLC Deluxe|32.8|4|78.0|52|1985|19.4|78|Japan
15516|Datsun B210 GX|39.4|4|85.0|70|2070|18.6|78|Japan
17300|Oldsmobile Cutlass Salon Brougham|19.9|8|260.0|110|3365|15.5|78|US
12241|Dodge Diplomat|19.4|8|318.0|140|3735|13.2|78|US
12625|Mercury Monarch ghia|20.2|8|302.0|139|3570|12.8|78|US
17970|Pontiac Phoenix LJ|19.2|6|231.0|105|3535|19.2|78|US
11975|Ford Fairmont (auto)|20.2|6|200.0|85|2965|15.8|78|US
13318|Ford Fairmont (man)|25.1|4|140.0|88|2720|15.4|78|US
12627|Plymouth Volare|20.5|6|225.0|100|3430|17.2|78|US
11902|AMC Concord|19.4|6|232.0|90|3210|17.2|78|US
19073|Buick Century Special|20.6|6|231.0|105|3380|15.8|78|US
10285|Mercury Zephyr|20.8|6|200.0|85|3070|16.7|78|US
15184|Dodge Aspen|18.6|6|225.0|110|3620|18.7|78|US
13957|AMC Concord d/l|18.1|6|258.0|120|3410|15.1|78|US
13413|Buick Regal Sport Coupe (turbo)|17.7|6|231.0|165|3445|13.4|78|US
14689|Ford Futura|18.1|8|302.0|139|3205|11.2|78|US
17933|Dodge Magnum XE|17.5|8|318.0|140|4080|13.7|78|US
10227|Datsun 510|27.2|4|119.0|97|2300|14.7|78|Japan
16797|Dodge Omni|30.9|4|105.0|75|2230|14.5|78|US
10979|Toyota Celica GT Liftback|21.1|4|134.0|95|2515|14.8|78|Japan
19503|Plymouth Sapporo|23.2|4|156.0|105|2745|16.7|78|US
14151|Oldsmobile Starfire SX|23.8|4|151.0|85|2855|17.6|78|US
18030|Datsun 200-SX|23.9|4|119.0|97|2405|14.9|78|Japan
15806|Audi 5000|20.3|5|131.0|103|2830|15.9|78|Europe
13205|Volvo 264gl|17.0|6|163.0|125|3140|13.6|78|Europe
12534|Saab 99gle|21.6|4|121.0|115|2795|15.7|78|Europe
11303|Peugeot 604sl|16.2|6|163.0|133|3410|15.8|78|Europe
17787|Volkswagen Scirocco|31.5|4|89.0|71|1990|14.9|78|Europe
16383|Honda Accord LX|29.5|4|98.0|68|2135|16.6|78|Japan
13682|Pontiac Lemans V6|21.5|6|231.0|115|3245|15.4|79|US
12626|Mercury Zephyr 6|19.8|6|200.0|85|2990|18.2|79|US
17849|Ford Fairmont 4|22.3|4|140.0|88|2890|17.3|79|US
11083|AMC Concord DL 6|20.2|6|232.0|90|3265|18.2|79|US
14783|Dodge Aspen 6|20.6|6|225.0|110|3360|16.6|79|US
10365|Ford LTD Landau|17.6|8|302.0|129|3725|13.4|79|US
14680|Mercury Grand Marquis|16.5|8|351.0|138|3955|13.2|79|US
19997|Dodge St. Regis|18.2|8|318.0|135|3830|15.2|79|US
13099|Chevrolet Malibu Classic (sw)|19.2|8|267.0|125|3605|15.0|79|US
16923|Chrysler Lebaron Town @ Country (sw)|18.5|8|360.0|150|3940|13.0|79|US
17783|Dodge Colt Hatchback Custom|35.7|4|98.0|80|1915|14.4|79|US
19130|AMC Spirit DL|27.4|4|121.0|80|2670|15.0|79|US
19900|Mercedes Benz 300d|25.4|5|183.0|77|3530|20.1|79|Europe
15887|Cadillac Eldorado|23.0|8|350.0|125|3900|17.4|79|US
13580|Plymouth Horizon|34.2|4|105.0|70|2200|13.2|79|US
19002|Plymouth Horizon TC3|34.5|4|105.0|70|2150|14.9|79|US
17815|Datsun 210|31.8|4|85.0|65|2020|19.2|79|Japan
18296|Fiat Strada Custom|37.3|4|91.0|69|2130|14.7|79|Europe
17172|Buick Skylark Limited|28.4|4|151.0|90|2670|16.0|79|US
12139|Chevrolet Citation|28.8|6|173.0|115|2595|11.3|79|US
16048|Oldsmobile Omega Brougham|26.8|6|173.0|115|2700|12.9|79|US
18688|Pontiac Phoenix|33.5|4|151.0|90|2556|13.2|79|US
16112|Toyota Corolla Tercel|38.1|4|89.0|60|1968|18.8|80|Japan
18208|Datsun 310|37.2|4|86.0|65|2019|16.4|80|Japan
14082|Ford Fairmont|26.4|4|140.0|88|2870|18.1|80|US
11916|Audi 4000|34.3|4|97.0|78|2188|15.8|80|Europe
17531|Mazda 626|31.3|4|120.0|75|2542|17.5|80|Japan
10136|Datsun 510 Hatchback|37.0|4|119.0|92|2434|15.0|80|Japan
11563|Mazda GLC|46.6|4|86.0|65|2110|17.9|80|Japan
12129|Volkswagen Rabbit C (Diesel)|44.3|4|90.0|48|2085|21.7|80|Europe
12400|Volkswagen Dasher (diesel)|43.4|4|90.0|48|2335|23.7|80|Europe
19071|Audi 5000s (diesel)|36.4|5|121.0|67|2950|19.9|80|Europe
16665|Mercedes-Benz 240d|30.0|4|146.0|67|3250|21.8|80|Europe
19782|Honda Civic 1500 gl|44.6|4|91.0|67|1850|13.8|80|Japan
16478|Renault Lecar Deluxe|40.9|4|85.0|0|1835|17.3|80|Europe
12502|Datsun 280-ZX|32.7|6|168.0|132|2910|11.4|80|Japan
14710|Mazda RX-7 GS|23.7|3|70.0|100|2420|12.5|80|Japan
15720|Triumph TR7 Coupe|35.0|4|122.0|88|2500|15.1|80|Europe
18760|Ford Mustang Cobra|23.6|4|140.0|0|2905|14.3|80|US
12673|Honda Accord|32.4|4|107.0|72|2290|17.0|80|Japan
12544|Plymouth Reliant|27.2|4|135.0|84|2490|15.7|81|US
13362|Dodge Aries Wagon (sw)|25.8|4|156.0|92|2620|14.4|81|US
11545|Toyota Starlet|39.1|4|79.0|58|1755|16.9|81|Japan
18527|Plymouth Champ|39.0|4|86.0|64|1875|16.4|81|US
11956|Honda Civic 1300|35.1|4|81.0|60|1760|16.1|81|Japan
14081|Datsun 210 MPG|37.0|4|85.0|65|1975|19.4|81|Japan
14770|Toyota Tercel|37.7|4|89.0|62|2050|17.3|81|Japan
14441|Mazda GLC 4|34.1|4|91.0|68|1985|16.0|81|Japan
18501|Plymouth Horizon 4|34.7|4|105.0|63|2215|14.9|81|US
16673|Ford Escort 4W|34.4|4|98.0|65|2045|16.2|81|US
15951|Ford Escort 2H|29.9|4|98.0|65|2380|20.7|81|US
11604|Volkswagen Jetta|33.0|4|105.0|74|2190|14.2|81|Europe
17796|Renault 18i|34.5|4|100.0|0|2320|15.8|81|Europe
12765|Honda Prelude|33.7|4|107.0|75|2210|14.4|81|Japan
15768|Datsun 200SX|32.9|4|119.0|100|2615|14.8|81|Japan
10290|Peugeot 505s Turbo Diesel|28.1|4|141.0|80|3230|20.4|81|Europe
12830|Saab 900s|0.0|4|121.0|110|2800|15.4|81|Europe
13464|Volvo Diesel|30.7|6|145.0|76|3160|19.6|81|Europe
10019|Toyota Cressida|25.4|6|168.0|116|2900|12.6|81|Japan
17676|Datsun 810 Maxima|24.2|6|146.0|120|2930|13.8|81|Japan
18634|Oldsmobile Cutlass LS|26.6|8|350.0|105|3725|19.0|81|US
14094|Ford Grenada gl|20.2|6|200.0|88|3060|17.1|81|US
17653|Chrysler Lebaron Salon|17.6|6|225.0|85|3465|16.6|81|US
16118|Chevrolet Cavalier|28.0|4|112.0|88|2605|19.6|82|US
10783|Chevrolet Cavalier Wagon|27.0|4|112.0|88|2640|18.6|82|US
13606|Chevrolet Cavalier 2-door|34.0|4|112.0|88|2395|18.0|82|US
14617|Pontiac J2000 SE Hatchback|31.0|4|112.0|85|2575|16.2|82|US
17232|Dodge Aries SE|29.0|4|135.0|84|2525|16.0|82|US
10797|Ford Fairmont Futura|24.0|4|140.0|92|2865|16.4|82|US
10052|AMC Concord DL|23.0|4|151.0|0|3035|20.5|82|US
17013|Volkswagen Rabbit l|36.0|4|105.0|74|1980|15.3|82|Europe
11433|Mazda GLC Custom l|37.0|4|91.0|68|2025|18.2|82|Japan
17259|Mazda GLC Custom|31.0|4|91.0|68|1970|17.6|82|Japan
14462|Plymouth Horizon Miser|38.0|4|105.0|63|2125|14.7|82|US
12790|Mercury Lynx l|36.0|4|98.0|70|2125|17.3|82|US
12313|Nissan Stanza XE|36.0|4|120.0|88|2160|14.5|82|Japan
18901|Honda Civic (auto)|32.0|4|91.0|67|1965|15.7|82|Japan
17340|Datsun 310 GX|38.0|4|91.0|67|1995|16.2|82|Japan
16205|Buick Century Limited|25.0|6|181.0|110|2945|16.4|82|US
12820|Oldsmobile Cutlass Ciera (diesel)|38.0|6|262.0|85|3015|17.0|82|US
12205|Chrysler Lebaron Medallion|26.0|4|156.0|92|2585|14.5|82|US
10690|Ford Grenada l|22.0|6|232.0|112|2835|14.7|82|US
15157|Toyota Celica GT|32.0|4|144.0|96|2665|13.9|82|Japan
16675|Dodge Charger 2.2|36.0|4|135.0|84|2370|13.0|82|US
19263|Chevrolet Camaro|27.0|4|151.0|90|2950|17.3|82|US
14193|Ford Mustang GL|27.0|4|140.0|86|2790|15.6|82|US
12508|Volkswagen Pickup|44.0|4|97.0|52|2130|24.6|82|Europe
16928|Dodge Rampage|32.0|4|135.0|84|2295|11.6|82|US
10819|Ford Ranger|28.0|4|120.0|79|2625|18.6|82|US
13909|Chevy S-10|31.0|4|119.0|82|2720|19.4|82|US
