instance_id|date|hour|is_holiday|is_workingday|weather_condition|normalized_temp_actual|normalized_temp_feels_like|normalized_humidity|normalized_wind_speed|casual_users_cnt|registered_users_cnt
15575|2012-10-16|3|No|Yes|clear|0.42|0.4242|0.67|0.1045|0|2
10605|2012-03-22|23|No|Yes|clear|0.56|0.5303|0.83|0.0896|34|117
6932|2011-10-21|10|No|Yes|clear|0.46|0.4545|0.51|0.1642|32|106
20|2011-01-01|19|No|No|light snow/rain|0.42|0.4242|0.88|0.2537|6|31
7875|2011-11-29|18|No|Yes|misty|0.4|0.4091|0.82|0.2985|11|347
16253|2012-11-14|22|No|Yes|clear|0.28|0.3182|0.61|0.0|6|167
9702|2012-02-14|4|No|Yes|misty|0.26|0.2727|0.65|0.1045|0|2
9490|2012-02-05|7|No|No|misty|0.24|0.2424|0.75|0.1642|0|16
13475|2012-07-20|15|No|Yes|misty|0.7|0.6667|0.84|0.2985|47|169
13517|2012-07-22|9|No|No|misty|0.66|0.6212|0.69|0.0|79|179
2445|2011-04-16|18|No|No|misty|0.5|0.4848|0.94|0.3881|6|32
8957|2012-01-14|1|No|No|clear|0.16|0.1515|0.47|0.194|6|44
6154|2011-09-18|23|No|No|clear|0.54|0.5152|0.68|0.194|10|44
4414|2011-07-07|19|No|Yes|clear|0.82|0.7727|0.52|0.2836|79|286
10890|2012-04-03|21|No|Yes|clear|0.54|0.5152|0.45|0.0|33|210
11314|2012-04-21|14|No|No|clear|0.7|0.6364|0.45|0.2836|278|331
4131|2011-06-26|0|No|No|clear|0.64|0.6212|0.53|0.0|30|85
11992|2012-05-19|20|No|No|clear|0.68|0.6364|0.41|0.0896|118|197
5376|2011-08-16|21|No|Yes|clear|0.72|0.6667|0.54|0.0|38|177
8665|2012-01-01|19|No|No|light snow/rain|0.42|0.4242|0.67|0.3881|20|85
15732|2012-10-22|16|No|Yes|clear|0.62|0.6212|0.33|0.1642|80|444
2572|2011-04-22|1|No|Yes|clear|0.36|0.3333|0.53|0.2537|2|22
2482|2011-04-18|7|No|Yes|clear|0.46|0.4545|0.63|0.0|12|156
6818|2011-10-16|15|No|No|clear|0.62|0.6212|0.35|0.3881|182|230
4845|2011-07-25|18|No|Yes|clear|0.74|0.7121|0.74|0.0896|60|473
10241|2012-03-07|18|No|Yes|clear|0.56|0.5303|0.4|0.4627|35|509
938|2011-02-11|16|No|Yes|clear|0.3|0.2879|0.28|0.194|14|111
4960|2011-07-30|13|No|No|clear|0.88|0.7576|0.29|0.0|125|183
11538|2012-04-30|22|No|Yes|misty|0.52|0.5|0.55|0.1642|11|123
1607|2011-03-12|10|No|No|clear|0.32|0.303|0.66|0.2239|21|78
15626|2012-10-18|6|No|Yes|clear|0.44|0.4394|0.88|0.2985|3|150
12270|2012-05-31|10|No|Yes|clear|0.7|0.6364|0.39|0.3881|65|155
11437|2012-04-26|17|No|Yes|clear|0.54|0.5152|0.77|0.1642|49|565
5538|2011-08-23|15|No|Yes|clear|0.72|0.6515|0.34|0.2239|178|423
972|2011-02-13|2|No|No|misty|0.2|0.2273|0.75|0.0896|1|19
16357|2012-11-19|6|No|Yes|misty|0.36|0.3333|0.66|0.2537|3|128
13724|2012-07-31|0|No|Yes|clear|0.68|0.6364|0.79|0.1343|11|27
15899|2012-10-31|3|No|Yes|misty|0.3|0.3182|0.81|0.1045|0|3
2989|2011-05-09|10|No|Yes|clear|0.56|0.5303|0.52|0.194|24|95
15671|2012-10-20|3|No|No|clear|0.42|0.4242|0.77|0.1343|2|27
11346|2012-04-22|22|No|No|light snow/rain|0.34|0.2879|0.87|0.5224|0|13
11126|2012-04-13|18|No|Yes|clear|0.54|0.5152|0.26|0.1343|107|564
3858|2011-06-14|15|No|Yes|clear|0.64|0.6212|0.47|0.1642|42|136
6026|2011-09-13|15|No|Yes|clear|0.74|0.6667|0.51|0.2985|35|145
14688|2012-09-09|4|No|No|clear|0.52|0.5|0.77|0.2537|12|16
737|2011-02-03|1|No|Yes|clear|0.2|0.1515|0.44|0.5224|0|5
15548|2012-10-15|0|No|Yes|misty|0.56|0.5303|0.73|0.2537|17|31
10808|2012-03-31|10|No|No|misty|0.4|0.4091|0.76|0.1343|108|205
13877|2012-08-06|9|No|Yes|light snow/rain|0.7|0.6667|0.79|0.1642|28|248
10382|2012-03-13|16|No|Yes|clear|0.72|0.6515|0.34|0.3881|53|312
15888|2012-10-30|16|No|Yes|light snow/rain|0.3|0.2879|0.87|0.2537|15|83
5573|2011-08-25|2|No|Yes|clear|0.68|0.6364|0.69|0.3881|3|2
15549|2012-10-15|1|No|Yes|misty|0.58|0.5455|0.64|0.3881|5|24
12152|2012-05-26|12|No|No|clear|0.74|0.697|0.66|0.2239|236|293
104|2011-01-05|12|No|Yes|clear|0.26|0.2273|0.33|0.3284|5|74
8226|2011-12-14|9|No|Yes|misty|0.3|0.3333|0.61|0.0|9|230
12007|2012-05-20|11|No|No|clear|0.66|0.6212|0.36|0.3284|258|323
4041|2011-06-22|6|No|Yes|clear|0.66|0.6061|0.83|0.0|12|110
11924|2012-05-17|0|No|Yes|clear|0.6|0.5758|0.78|0.1343|30|49
2472|2011-04-17|21|No|No|clear|0.5|0.4848|0.42|0.194|13|70
9186|2012-01-23|15|No|Yes|misty|0.22|0.2121|1.0|0.2239|10|64
5917|2011-09-09|1|No|Yes|misty|0.62|0.5152|1.0|0.1642|0|8
4204|2011-06-29|1|No|Yes|clear|0.68|0.6364|0.79|0.2985|10|18
2547|2011-04-21|0|No|Yes|clear|0.56|0.5303|0.43|0.3582|11|33
9695|2012-02-13|21|No|Yes|clear|0.28|0.2879|0.45|0.1343|2|145
3388|2011-05-26|1|No|Yes|clear|0.64|0.6061|0.73|0.1343|3|13
12877|2012-06-25|17|No|Yes|clear|0.8|0.6818|0.24|0.4627|76|757
3060|2011-05-12|9|No|Yes|misty|0.5|0.4848|0.77|0.2836|21|191
5654|2011-08-29|0|No|Yes|clear|0.62|0.5909|0.73|0.1045|13|21
7729|2011-11-23|15|No|Yes|misty|0.42|0.4242|0.54|0.4478|13|194
6799|2011-10-15|20|No|No|clear|0.5|0.4848|0.48|0.1343|42|137
4511|2011-07-11|20|No|Yes|clear|0.72|0.697|0.74|0.4179|42|194
124|2011-01-06|9|No|Yes|misty|0.18|0.2424|0.51|0.0|6|116
17071|2012-12-19|1|No|Yes|clear|0.3|0.3182|0.65|0.0896|1|14
16202|2012-11-12|19|Yes|No|clear|0.54|0.5152|0.73|0.2836|30|323
13529|2012-07-22|21|No|No|clear|0.7|0.6667|0.79|0.1045|88|257
8396|2011-12-21|11|No|Yes|misty|0.48|0.4697|0.82|0.4179|3|53
15556|2012-10-15|8|No|Yes|misty|0.6|0.6061|0.64|0.3881|24|713
4994|2011-07-31|23|No|No|clear|0.74|0.697|0.66|0.2239|14|56
9889|2012-02-22|1|No|Yes|clear|0.32|0.3333|0.7|0.1343|3|4
10190|2012-03-05|15|No|Yes|misty|0.3|0.2879|0.53|0.194|20|110
6138|2011-09-18|7|No|No|clear|0.46|0.4545|0.72|0.2239|15|29
10525|2012-03-19|15|No|Yes|clear|0.64|0.6212|0.57|0.2239|97|189
4354|2011-07-05|7|No|Yes|clear|0.7|0.6515|0.65|0.0896|22|248
15400|2012-10-08|20|Yes|No|light snow/rain|0.4|0.4091|0.71|0.2239|20|207
15020|2012-09-23|0|No|No|clear|0.62|0.6212|0.38|0.2537|34|146
1329|2011-02-28|15|No|Yes|light snow/rain|0.42|0.4242|1.0|0.2985|0|35
10142|2012-03-03|15|No|No|clear|0.48|0.4697|0.29|0.2985|145|254
1003|2011-02-14|10|No|Yes|clear|0.44|0.4394|0.33|0.2239|9|46
7763|2011-11-25|1|No|Yes|clear|0.34|0.3636|0.76|0.0|2|12
8798|2012-01-07|9|No|No|clear|0.22|0.2273|0.8|0.1343|14|116
13688|2012-07-29|12|No|No|clear|0.76|0.697|0.55|0.3284|154|357
13625|2012-07-26|21|No|Yes|clear|0.8|0.7424|0.49|0.6119|35|236
6394|2011-09-28|23|No|Yes|clear|0.6|0.5152|0.94|0.1343|12|59
15828|2012-10-26|16|No|Yes|misty|0.58|0.5455|0.73|0.1642|137|445
15307|2012-10-04|23|No|Yes|clear|0.6|0.6212|0.56|0.0896|18|137
885|2011-02-09|8|No|Yes|clear|0.1|0.1364|0.42|0.0|1|198
12410|2012-06-06|6|No|Yes|clear|0.48|0.4697|0.77|0.0|7|165
5130|2011-08-06|15|No|No|misty|0.84|0.803|0.53|0.2537|130|232
16629|2012-11-30|15|No|Yes|misty|0.42|0.4242|0.38|0.1045|34|262
13823|2012-08-04|3|No|No|clear|0.72|0.7121|0.84|0.1343|11|19
16040|2012-11-06|0|No|Yes|clear|0.24|0.2576|0.6|0.1045|1|18
2436|2011-04-16|9|No|No|light snow/rain|0.4|0.4091|1.0|0.2985|2|27
17316|2012-12-29|8|No|No|misty|0.26|0.2424|0.81|0.0|9|35
5382|2011-08-17|3|No|Yes|clear|0.64|0.5909|0.78|0.0|1|4
16791|2012-12-07|9|No|Yes|misty|0.3|0.303|0.81|0.1343|10|291
4392|2011-07-06|21|No|Yes|clear|0.7|0.6667|0.79|0.194|66|175
2749|2011-04-29|10|No|Yes|clear|0.56|0.5303|0.4|0.2836|57|99
8918|2012-01-12|10|No|Yes|clear|0.34|0.3485|0.81|0.1045|6|84
5237|2011-08-11|2|No|Yes|clear|0.66|0.6212|0.54|0.1343|3|8
7883|2011-11-30|2|No|Yes|clear|0.32|0.3182|0.7|0.1642|0|5
4439|2011-07-08|20|No|Yes|clear|0.66|0.6061|0.83|0.1642|30|220
3609|2011-06-04|6|No|No|clear|0.54|0.5152|0.6|0.0|11|17
7901|2011-11-30|20|No|Yes|misty|0.32|0.303|0.57|0.2836|6|184
252|2011-01-11|20|No|Yes|light snow/rain|0.16|0.1515|0.93|0.194|0|32
9762|2012-02-16|16|No|Yes|light snow/rain|0.34|0.3636|0.81|0.0|8|110
12142|2012-05-26|2|No|No|clear|0.64|0.5758|0.89|0.1343|9|55
8049|2011-12-07|0|No|Yes|clear|0.44|0.4394|1.0|0.194|3|30
5322|2011-08-14|15|No|No|clear|0.74|0.697|0.66|0.194|128|203
2449|2011-04-16|22|No|No|light snow/rain|0.42|0.4242|1.0|0.0|2|22
17347|2012-12-30|15|No|No|clear|0.28|0.2576|0.38|0.3284|37|101
9576|2012-02-08|22|No|Yes|misty|0.24|0.2424|0.87|0.1343|3|95
9981|2012-02-25|21|No|No|clear|0.24|0.2121|0.35|0.3284|5|80
968|2011-02-12|22|No|No|clear|0.24|0.2576|0.44|0.0896|6|39
15238|2012-10-02|2|No|Yes|misty|0.54|0.5152|0.77|0.1045|0|2
11445|2012-04-27|1|No|Yes|clear|0.5|0.4848|0.59|0.4478|3|32
6374|2011-09-28|3|No|Yes|misty|0.6|0.5152|0.94|0.0896|0|3
9126|2012-01-21|3|No|No|light snow/rain|0.14|0.1818|0.93|0.0896|0|13
11513|2012-04-29|21|No|No|clear|0.52|0.5|0.48|0.1343|65|139
16968|2012-12-14|18|No|Yes|clear|0.36|0.3485|0.46|0.1343|23|432
11226|2012-04-17|22|No|Yes|clear|0.54|0.5152|0.3|0.2537|18|144
7177|2011-10-31|15|No|Yes|clear|0.44|0.4394|0.47|0.1642|27|141
11877|2012-05-15|1|No|Yes|light snow/rain|0.56|0.5303|0.88|0.1343|5|14
14107|2012-08-15|23|No|Yes|clear|0.68|0.6364|0.65|0.1045|18|120
11318|2012-04-21|18|No|No|misty|0.68|0.6364|0.47|0.4925|133|283
7459|2011-11-12|9|No|No|clear|0.3|0.303|0.61|0.1642|18|142
4605|2011-07-15|18|No|Yes|clear|0.72|0.6515|0.45|0.2239|102|394
2813|2011-05-02|2|No|Yes|misty|0.44|0.4394|0.77|0.2239|16|19
8586|2011-12-29|12|No|Yes|misty|0.26|0.2727|0.56|0.1045|12|118
6358|2011-09-27|11|No|Yes|misty|0.66|0.5909|0.89|0.1045|26|97
4683|2011-07-19|0|No|Yes|clear|0.74|0.697|0.66|0.1045|25|26
8123|2011-12-10|2|No|No|misty|0.28|0.303|0.61|0.0896|12|48
6463|2011-10-01|20|No|No|light snow/rain|0.36|0.3636|0.87|0.1045|8|58
5406|2011-08-18|3|No|Yes|clear|0.66|0.6212|0.69|0.2836|0|6
10455|2012-03-16|17|No|Yes|light snow/rain|0.48|0.4697|0.82|0.0896|23|235
11035|2012-04-09|22|No|Yes|misty|0.46|0.4545|0.41|0.4925|6|102
14111|2012-08-16|3|No|Yes|clear|0.62|0.5909|0.73|0.2537|0|4
9893|2012-02-22|5|No|Yes|clear|0.32|0.3333|0.7|0.1045|1|29
5708|2011-08-31|6|No|Yes|clear|0.54|0.5152|0.77|0.0|4|107
2931|2011-05-07|0|No|No|clear|0.42|0.4242|0.82|0.1343|10|76
7418|2011-11-10|16|No|Yes|light snow/rain|0.36|0.3485|0.81|0.2239|6|67
14531|2012-09-02|15|No|No|light snow/rain|0.74|0.7121|0.74|0.1343|179|176
6267|2011-09-23|16|No|Yes|light snow/rain|0.62|0.5455|0.94|0.0|5|51
13470|2012-07-20|10|No|Yes|misty|0.7|0.6667|0.79|0.1642|51|182
7809|2011-11-26|23|No|No|clear|0.36|0.3788|0.81|0.0|18|51
11438|2012-04-26|18|No|Yes|misty|0.54|0.5152|0.77|0.194|75|589
8116|2011-12-09|19|No|Yes|clear|0.34|0.3636|0.61|0.0|10|189
9341|2012-01-30|2|No|Yes|clear|0.24|0.2121|0.48|0.3582|1|6
10252|2012-03-08|5|No|Yes|clear|0.42|0.4242|0.77|0.2239|1|28
1211|2011-02-23|12|No|Yes|clear|0.26|0.2879|0.35|0.0896|11|56
2617|2011-04-23|22|No|No|misty|0.58|0.5455|0.78|0.2537|55|114
11278|2012-04-20|2|No|Yes|clear|0.44|0.4394|0.88|0.194|3|18
9793|2012-02-17|23|No|Yes|clear|0.36|0.3485|0.4|0.194|10|72
17243|2012-12-26|7|No|Yes|light snow/rain|0.2|0.1818|0.86|0.3284|0|26
6992|2011-10-23|22|No|No|clear|0.42|0.4242|0.77|0.1045|25|69
11520|2012-04-30|4|No|Yes|clear|0.38|0.3939|0.62|0.2537|0|2
11956|2012-05-18|8|No|Yes|clear|0.52|0.5|0.59|0.1343|49|696
10093|2012-03-01|14|No|Yes|clear|0.58|0.5455|0.35|0.2239|37|174
13766|2012-08-01|18|No|Yes|light snow/rain|0.76|0.7121|0.62|0.2239|105|786
17019|2012-12-16|21|No|No|misty|0.36|0.3788|0.93|0.0|14|92
14711|2012-09-10|3|No|Yes|clear|0.52|0.5|0.68|0.2836|5|7
14916|2012-09-18|16|No|Yes|light snow/rain|0.6|0.5455|0.88|0.2985|19|122
9293|2012-01-28|2|No|No|clear|0.26|0.303|0.6|0.0|3|38
4561|2011-07-13|22|No|Yes|clear|0.68|0.6364|0.83|0.194|48|136
14231|2012-08-21|3|No|Yes|clear|0.56|0.5303|0.88|0.0|0|3
6919|2011-10-20|21|No|Yes|clear|0.44|0.4394|0.51|0.2985|16|149
752|2011-02-03|17|No|Yes|clear|0.2|0.197|0.4|0.194|5|170
4640|2011-07-17|5|No|No|clear|0.64|0.6061|0.69|0.2239|4|8
5023|2011-08-02|4|No|Yes|clear|0.66|0.6212|0.74|0.1045|0|10
1834|2011-03-22|3|No|Yes|clear|0.44|0.4394|0.82|0.2239|3|2
709|2011-02-01|21|No|Yes|misty|0.22|0.2273|0.87|0.1343|0|64
15904|2012-10-31|8|No|Yes|clear|0.32|0.3333|0.81|0.1343|6|615
477|2011-01-21|21|No|Yes|clear|0.08|0.0758|0.38|0.2836|0|41
3512|2011-05-31|5|No|Yes|clear|0.66|0.6061|0.83|0.0896|0|26
15773|2012-10-24|9|No|Yes|misty|0.52|0.5|0.77|0.0896|24|349
13586|2012-07-25|6|No|Yes|clear|0.64|0.6061|0.65|0.194|11|179
8716|2012-01-03|23|No|Yes|clear|0.1|0.0758|0.46|0.3881|0|18
14985|2012-09-21|13|No|Yes|clear|0.7|0.6515|0.54|0.1642|105|316
3583|2011-06-03|4|No|Yes|clear|0.52|0.5|0.48|0.3284|1|5
5117|2011-08-06|2|No|No|clear|0.66|0.6061|0.78|0.2239|14|39
6683|2011-10-11|0|No|Yes|misty|0.54|0.5152|0.88|0.0|14|16
12931|2012-06-27|23|No|Yes|clear|0.68|0.6364|0.47|0.1343|11|148
6743|2011-10-13|12|No|Yes|misty|0.62|0.5606|0.88|0.0|10|95
10188|2012-03-05|13|No|Yes|misty|0.26|0.2576|0.55|0.2985|11|109
5359|2011-08-16|4|No|Yes|clear|0.64|0.6061|0.69|0.2985|0|5
8350|2011-12-19|13|No|Yes|clear|0.34|0.303|0.49|0.3284|15|127
4951|2011-07-30|4|No|No|clear|0.72|0.6818|0.66|0.1642|4|6
3947|2011-06-18|8|No|No|clear|0.66|0.6061|0.78|0.0896|28|103
9946|2012-02-24|10|No|Yes|light snow/rain|0.36|0.3485|0.81|0.1642|22|119
14793|2012-09-13|13|No|Yes|clear|0.7|0.6364|0.42|0.0|60|223
15162|2012-09-28|22|No|Yes|misty|0.58|0.5455|0.53|0.2239|30|190
7285|2011-11-05|3|No|No|clear|0.3|0.2727|0.52|0.2985|0|8
3987|2011-06-20|0|No|Yes|clear|0.66|0.6061|0.83|0.1642|7|19
4801|2011-07-23|22|No|No|clear|0.8|0.7727|0.59|0.194|37|88
2727|2011-04-28|12|No|Yes|misty|0.62|0.5909|0.78|0.2537|23|84
8139|2011-12-10|18|No|No|clear|0.26|0.2576|0.38|0.2239|28|144
16598|2012-11-29|8|No|Yes|clear|0.2|0.2273|0.69|0.1045|15|664
2924|2011-05-06|17|No|Yes|clear|0.58|0.5455|0.4|0.3582|83|470
6536|2011-10-04|21|No|Yes|clear|0.5|0.4848|0.72|0.1343|22|144
5924|2011-09-09|8|No|Yes|light snow/rain|0.62|0.5455|0.94|0.1642|12|276
5334|2011-08-15|3|No|Yes|clear|0.6|0.5606|0.83|0.194|1|6
5225|2011-08-10|14|No|Yes|clear|0.84|0.7273|0.34|0.3284|62|116
8311|2011-12-17|22|No|No|clear|0.2|0.2121|0.75|0.1642|7|73
16568|2012-11-28|1|No|Yes|misty|0.26|0.2576|0.75|0.2239|0|12
17289|2012-12-28|5|No|Yes|misty|0.24|0.2576|0.6|0.0896|0|15
11975|2012-05-19|3|No|No|clear|0.5|0.4848|0.48|0.1045|10|23
248|2011-01-11|16|No|Yes|misty|0.16|0.1515|0.86|0.2239|4|72
7364|2011-11-08|10|No|Yes|clear|0.42|0.4242|0.71|0.0896|25|104
12350|2012-06-03|18|No|No|clear|0.7|0.6364|0.34|0.2537|153|343
7696|2011-11-22|6|No|Yes|misty|0.38|0.3939|0.94|0.1045|1|63
